dex_number,pokemon_name_gs_korean,category_same,height_same,weight_same,description_same,gold_category,silver_category,height_dm,weight_hg,gold_description,silver_description,gold_bank_hex,silver_bank_hex,gold_cpu_address_hex,silver_cpu_address_hex
85,두트리오,True,True,True,False,세쌍둥이,세쌍둥이,18,852,3배의 정보를 모아서 고도의<NEXT>작전을 짠다  가끔은 많은 생각을<NEXT>해서 움직이지 못하게 될 때도있다,어딘가 1개의 머리로 먹이를<NEXT>먹으면 남은 머리들도<NEXT>충족되어 날뛰지 않게 된다,0x68,0x68,0x5B70,0x5B92
86,쥬쥬,True,True,True,False,강치,강치,11,900,차가운 바다를 좋아한다<NEXT>지상에서는 잘 걸을 수 없지만<NEXT>수중에선 자유롭게 헤엄칠 수 있다,낮에는 얕은 바다 밑에서<NEXT>자고있을 때가 많다<NEXT>헤엄칠 때는 콧구멍이 닫힌다,0x68,0x68,0x5BD8,0x5BE8
87,쥬레곤,True,True,True,False,강치,강치,17,1200,몸은 물의 저항이<NEXT>적은 유선형으로 되어있다<NEXT>추워질수록 기운이 솟아난다,얼음이 떠다니는 차가운 바다를<NEXT>좋아한다  긴 꼬리는 방향을<NEXT>재빨리 바꾸는데 도움이 된다,0x68,0x68,0x5C35,0x5C37
88,질퍽이,True,True,True,False,진흙,진흙,9,300,지나간 뒤에 남은 몸의<NEXT>일부에서 다시 질퍽이가 태어나<NEXT>주변은 더욱 썩은 냄새가 난다,질퍽이가 지나간 자리는<NEXT>세균 투성이기 때문에<NEXT>어떠한 잡초도 생기지 않게 된다,0x68,0x68,0x5C82,0x5C94
89,질뻐기,True,True,True,False,진흙,진흙,12,300,진흙탕이 모인 썩은 장소를<NEXT>좋아해서 모여들기 때문에<NEXT>주변은 더욱 역겨운 냄새가 난다,몸의 성분은 맹독이다<NEXT>실수로 만지게 되면<NEXT>온몸에 열이 나서 눕게 되어버린다,0x68,0x68,0x5CDB,0x5CE7
90,셀러,True,True,True,False,두조개,두조개,3,40,2개의 껍질을 열고 닫는<NEXT>것으로 뒷방향으로 헤엄친다<NEXT>그 스피드는 제법 빠르다,껍질 안에 모인 모래알이<NEXT>셀러의 체액과 섞여<NEXT>아름다운 진주를 만들어낸다,0x68,0x68,0x5D35,0x5D38
91,파르셀,True,True,True,False,두조개,두조개,15,1325,한번 껍질을 닫아버리면<NEXT>어떠한 괴력을 소유한 자도<NEXT>여는 것은 불가능하다,조수의 흐름이 격한 바다에<NEXT>서식하고 있는 파르셀의<NEXT>껍질의 가시는 크고 날카롭다,0x68,0x68,0x5D89,0x5D88
92,고오스,True,True,True,False,가스,가스,13,1,옅은 가스 같은 몸으로<NEXT>어디든지 숨어들지만<NEXT>바람이 불면 날려가버린다,가스로 만들어진 몸은<NEXT>어떠한 크기의 상대도<NEXT>둘러싸서 숨을 못 쉬게 한다,0x68,0x68,0x5DD9,0x5DDF
93,고우스트,True,True,True,False,가스,가스,16,1,정말 아무것도 보이지 않는<NEXT>어둠속에서 고우스트는 조용히<NEXT>먹이를 노리고 있다,가스로 되어진 혀로 핥게되면<NEXT>몸의 떨림이 멈추지 않게 되어<NEXT>결국에는 죽음에 이르게 된다,0x68,0x68,0x5E24,0x5E2C
94,팬텀,True,True,True,False,그림자,그림자,15,405,주변의 열을 빼앗고 있다<NEXT>갑자기 한기가 느껴지는 것은<NEXT>팬텀이 나타났기 때문이다,생명을 빼앗으려고 정한<NEXT>먹이의 그림자에 숨어들어<NEXT>꼼짝않고 기회를 노리고 있다,0x68,0x68,0x5E76,0x5E89
95,롱스톤,True,True,True,False,돌뱀,돌뱀,88,2100,몸을 구부리고 비틀어서<NEXT>땅속을 파고 지나가는 소리는<NEXT>아주 먼 곳까지 울려퍼진다,크고 튼튼한 몸을<NEXT>뒤틀어서 땅을 파며<NEXT>시속 80km로 땅속을 전진한다,0x68,0x68,0x5ECD,0x5EDF
96,슬리프,True,True,True,False,최면,최면,10,324,즐거운 꿈을 꾸고 있었지만<NEXT>어떤 꿈인지 생각나지 않을 때는<NEXT>슬리프가 그 꿈을 먹었을 것이다,먹어치운 꿈은 전부 기억하고 있다<NEXT>아이들의 꿈쪽이 맛있기 때문에<NEXT>좀처럼 어른들의 꿈은 먹지 않는다,0x68,0x68,0x5F22,0x5F27
97,슬리퍼,True,True,True,False,최면,최면,16,756,매우 배가 고파있을 때<NEXT>만난 인간을 강제로<NEXT>잠재워 꿈을 먹어치운다,항상 지니고 있는 추를<NEXT>규칙적인 리듬으로 흔들고 있다<NEXT>가까이 가면 어쩐지 졸립다,0x68,0x68,0x5F82,0x5F8F
98,크랩,True,True,True,False,게,게,4,65,위험이 닥치면 입에서 뿜어내는<NEXT>거품으로 전신을 감싸서<NEXT>몸을 크게 보이려고 한다,집게는 간단하게 분리된다<NEXT>집게가 없어지면 어째서인지<NEXT>게걸음을 하지 못하게 된다,0x68,0x68,0x5FCA,0x5FE5
99,킹크랩,True,True,True,False,가위,가위,13,600,지나치게 크게 자란<NEXT>집게는 들어올릴 수는 있지만 <NEXT>생각한대로 잘 사용할 수 없다,볼품없이 크게 자라난<NEXT>집게를 위세좋게 들고 걷다보면<NEXT>중심을 잡지 못해서 뒤뚱거리게된다,0x68,0x68,0x601D,0x6039
100,찌리리공,True,True,True,False,볼,볼,5,104,굴러서 이동하기 때문에<NEXT>지면이 울퉁불퉁하면<NEXT>충격으로 폭발해버린다,몬스터볼이 팔리기 시작했을 때와<NEXT>같은 시기에 발견되었다<NEXT>뭔가 관계가 있다고 전해진다,0x68,0x68,0x6072,0x6096
101,붐볼,True,True,True,False,볼,볼,12,666,대량의 전기 에너지를<NEXT>지니고 있어서 한가해지면<NEXT>폭발을 하며 놀기 때문에 위험하다,넘칠 정도의 전기에너지를<NEXT>체내에 모으고있기 때문에<NEXT>약간의 자극만으로도 폭발한다,0x68,0x68,0x60B9,0x60EF
102,아라리,True,True,True,False,알,알,4,25,표면은 제법 단단하다<NEXT>금이 생겨도 내용물이 흐르거나<NEXT>하는 것 없이 살아갈 수 있다,아라리에게만 전해지는<NEXT>텔레파시를 주고받고 있어서<NEXT>어떤 때든 6마리가 함께 모여있다,0x68,0x68,0x610E,0x6144
103,나시,True,True,True,False,야자열매,야자열매,20,1200,3개의 머리는 생각하는 것이<NEXT>따로따로 지만 사이가 좋기에<NEXT>싸우는 일은 없다는 것 같다,떨어진 머리는 아라리가 되어서<NEXT>동료를 찾기 위해 특수한<NEXT>텔레파시를 내기 시작한다,0x68,0x68,0x6163,0x619B
104,탕구리,True,True,True,False,고독,고독,4,65,슬플 때와 외로울 때에는<NEXT>뒤집어쓴 해골이 흔들려<NEXT>덧없고 허무한 소리가 난다,죽은 어미의 해골을<NEXT>항상 뒤집어쓰고 있어서<NEXT>얼굴이 어떻게 생겼는지 모른다,0x68,0x68,0x61C1,0x61F6
105,텅구리,True,True,True,False,뼈다귀,뼈다귀,10,450,들고 있는 뼈로 돌을 두드려<NEXT>소리를 내서 동료에게 연락을 하는<NEXT>모습이 목격되었다,어디선가 뼈를 주워온다<NEXT>이 세상 어딘가에 텅구리만의<NEXT>무덤이 존재한다는 소문이 있다,0x68,0x68,0x6212,0x6246
106,시라소몬,True,True,True,False,킥,킥,15,498,풍부한 균형감각의 소유자<NEXT>어떠한 자세에서도 연속으로<NEXT>발차기를 하는 대단한 녀석이다,연속으로 킥을 하는 동안<NEXT>양쪽 다리는 점점 길어져서<NEXT>도망치려고 하는 상대를 걷어찬다,0x68,0x68,0x626A,0x62A1
107,홍수몬,True,True,True,False,펀치,펀치,14,502,바람을 가르는 펀치의 소유자<NEXT>그러나 3분동안 공격을 하면<NEXT>잠시 쉬고싶어하는 것 같다,주변의 공기를 가르는 펀치<NEXT>스쳐도 화상을 입힐 정도로<NEXT>펀치 스피드는 매우 빠르다,0x68,0x68,0x62C2,0x62F9
108,내루미,True,True,True,False,핥기,핥기,12,655,혀 끝까지 신경이<NEXT>발달해 있어서<NEXT>미묘한 움직임이 가능하다,긴 혀는 끈적끈적한<NEXT>침으로 덮혀있다  어떤 것이든<NEXT>달라붙어서 매우 편리하다,0x68,0x68,0x631B,0x634F
109,또가스,True,True,True,False,독가스,독가스,6,10,얇은 막과 같은 형상의 몸에는<NEXT>눈물과 기침과 콧물을 멈추게<NEXT>할 수 없는 가스가 가득하다,체내의 독가스는 공기보다<NEXT>약간 가벼운 성분이기때문에<NEXT>항상 공중에 약간 떠있다,0x68,0x68,0x635B,0x63A0
110,또도가스,True,True,True,False,독가스,독가스,12,95,어느 한쪽이 부풀어오르면 다른쪽은<NEXT>쪼그라드는 쌍둥이 또가스<.> 항상<NEXT>체내의 독가스를 섞고 있다,체내에 모여있는 독가스를<NEXT>극한까지 농도를 낮추면<NEXT>최고급의 향수가 된다,0x68,0x68,0x63B9,0x63F6
111,뿔카노,True,True,True,False,뿔,뿔,10,1150,4개의 다리는 짧아서<NEXT>잘 굽혀지지 않는다  단지<NEXT>한곳으로 돌진할 뿐이다,자신이 향하고 있는 방향에<NEXT>무엇이 있는가 신경쓰지 않는다<NEXT>전부 돌진해서 부술 뿐이다,0x68,0x68,0x641F,0x6445
112,코뿌리,True,True,True,False,드릴,드릴,19,1200,용암의 뜨거움도 느끼지 않는<NEXT>견고한 피부의 소유자로<NEXT>그만큼 둔한 곳도 있다,뒷다리로만 설 수 있게 되어<NEXT>뇌가 발달했다  두꺼운<NEXT>피부는 마그마 안에서도 문제 없다,0x68,0x68,0x6469,0x649D
113,럭키,True,True,True,False,알,알,11,346,가지고 있는 알을<NEXT>깨지지 않도록 조심해서 걸어다닌다<NEXT>그러나 도망치는 것은 매우 빠르다,수가 적어서 잡기 힘들다<NEXT>자신을 잡은 트레이너에게<NEXT>행복을 가져다 준다고 전해진다,0x68,0x68,0x64BA,0x64F7
114,덩구리,True,True,True,False,넝쿨,넝쿨,10,350,전신을 뒤덮는 덩쿨은<NEXT>항상 섬세하게 움직임을 계속해서<NEXT>상대의 신경을 혼란스럽게 만든다,움직이는 것에 넝쿨을 감는다<NEXT>넝쿨은 미묘하게 흔들리기 때문에<NEXT>휘감기면 간지럽다,0x68,0x68,0x6514,0x654C
115,캥카,True,True,True,False,가족,가족,22,800,안전한 장소라면 새끼도<NEXT>배의 주머니에서 나와 논다<NEXT>어미는 그것을 곰곰히 지켜본다,자식을 지키기 위해서라면<NEXT>어떠한 상처를 입더라도<NEXT>싸움을 멈추지 않는다,0x68,0x68,0x6571,0x65A2
116,쏘드라,True,True,True,False,드래곤,드래곤,4,80,커다란 상대에게 공격을 받아도<NEXT>2개의 지느러미로 능숙하게<NEXT>수중을 자유롭게 도망친다,발달한 커다란 지느러미를<NEXT>재빠르게 움직이는 것으로 앞을<NEXT>향한 채 뒤로 이동할 수 있다,0x68,0x68,0x65C8,0x65EF
117,시드라,True,True,True,False,드래곤,드래곤,12,250,세포를 조사해보면 쏘드라에게는<NEXT>없었던 새로운 유전자가<NEXT>발견되어 화제가 되고있다,지느러미 끝에서 독을 분비한다<NEXT>지느러미와 뼈는 한약의<NEXT>재료로서 중요하게 여겨지고 있다,0x68,0x68,0x6623,0x664C
118,콘치,True,True,True,False,금붕어,금붕어,6,150,"등, 가슴, 꼬리지느러미가<NEXT>우아하게 움직이기 때문에<NEXT>수중의 무녀라고 불려진다",물살이 빠른 강도<NEXT>5노트의 스피드로<NEXT>슥슥 거슬러올라간다,0x68,0x68,0x667C,0x66AB
119,왕콘치,True,True,True,False,금붕어,금붕어,13,390,산란할 시기가 되면<NEXT>각지에서 왕콘치가 모여들어<NEXT>강물색깔을 빨갛게 물들인다,뿔로 강바닥의 바위를 파헤쳐<NEXT>집을 만드는 것은 태어난 알이<NEXT>떠내려가지 않도록 하기 위함이다,0x68,0x68,0x66D3,0x66EB
120,별가사리,True,True,True,False,별,별,8,345,밤이되면 몸의 중심이<NEXT>사람들의 움직임과 같은 리듬으로<NEXT>천천히 깜빡거린다,몸의 중심에서 빛나는<NEXT>코어가 있는 한 몸이<NEXT>뜯겨나가도 재생할 수 있다,0x68,0x68,0x6726,0x674E
121,아쿠스타,True,True,True,False,수수께끼,수수께끼,11,800,몸의 중앙에 있는 코어라고<NEXT>불려지는 부분은 볼 때마다<NEXT>다른 색의 빛을 발산한다,어떠한 환경에서든<NEXT>크게되면 좌우대칭의<NEXT>기하학적인 몸으로 성장한다,0x68,0x68,0x6773,0x6797
122,마임맨,True,True,True,False,배리어,배리어,13,545,판토마임의 실력을 타고났다<NEXT>자라면서 기술은 향상되어<NEXT>보이지 않는 것도 만들어내게 된다,손가락 끝에서 발산되는<NEXT>이상한 파동이 공기를 단단한<NEXT>형질로 바꿔서 벽을 만들어낸다,0x68,0x68,0x67CB,0x67E4
123,스라크,True,True,True,False,버마재비,버마재비,15,560,잘 들고 날카로운 낫을 사용하여<NEXT>풀숲을 베고 지나간다  매우 빠른<NEXT>움직임에 눈이 따라가지 못한다,움직여도 잔상밖에 보이지 않는다<NEXT>멈춰서도 풀숲에 몸을 숨기면<NEXT>보호색 때문에 보이지 않는다,0x68,0x68,0x682A,0x683F
124,루주라,True,True,True,False,인간형태,인간형태,14,406,리드미컬하게 몸을 흔들고 있다<NEXT>그당시의 감정에 따라<NEXT>리듬은 바뀌는 것 같다,인간처럼 말도<NEXT>하고 있지만 그것 보다는<NEXT>춤으로 감정을 전하는 것 같다,0x68,0x68,0x6893,0x68A3
125,에레브,True,True,True,False,전기,전기,11,300,몸의 표면에는 전기가<NEXT>흐르고 있다  주위가 어두우면<NEXT>전신이 푸르스름하게 빛난다,전신에서 항상 전기가<NEXT>흐르고있기 때문에 가까이가면<NEXT>머리카락이 곤두서버린다,0x68,0x68,0x68E8,0x68F2
126,마그마,True,True,True,False,불뿜기,불뿜기,13,445,추운곳을 싫어한다  뜨거운<NEXT>화염을 뿜어내서 살기 쉽도록<NEXT>주변의 환경을 바꾼다,몸의 표면에는<NEXT>태양과 같은 정도의 화염의<NEXT>흔들림이 발생하고 있다,0x68,0x68,0x693D,0x6944
127,쁘사이저,True,True,True,False,투구,투구,15,550,밤에은 뿔로 지면을 파고<NEXT>안에서 잔다  아침일찍 일어나면<NEXT>피부에 젖은 흙이 붙어있다,긴 뿔을 휘둘러서<NEXT>공격을 해온다  추울 때는<NEXT>깊은 숲에서 몸을 숨긴다,0x68,0x68,0x6992,0x698D
128,켄타로스,True,True,True,False,성난소,성난소,14,884,뿔을 마주대고 싸운다<NEXT>무리를 지키는 강한 켄타로스는<NEXT>상처투성인 뿔을 자랑한다,3개의 꼬리로 자신을 때려서<NEXT>투지가 끓어오르면<NEXT>전속력으로 돌진해온다,0x68,0x68,0x69EB,0x69D7
129,잉어킹,True,True,True,False,물고기,물고기,9,100,힘이 없는 불쌍한 포켓몬<NEXT>가끔 높이 뛰어오르지만<NEXT>겨우 2m를 넘는것이 고작이다,어쨌든 뛴다  이유도 없이 뛴다<NEXT>펄떡거리고 있을때 날아 온<NEXT>피죤등에게 잡혀버린다,0x69,0x69,0x4000,0x4000
130,갸라도스,True,True,True,False,흉악,흉악,65,2350,옛날에 전쟁이 날 때에<NEXT>갸라도스가 나타나서 여기저기를<NEXT>불바다로 만들었다고 전해진다,한번 모습을 나타내면<NEXT>주변 전체를 박살내지 않고는<NEXT>분노가 가라앉지 않는다고 한다,0x69,0x69,0x4055,0x4058
131,라프라스,True,True,True,False,탈것,탈것,25,2200,부드러운 마음씨의 소유자<NEXT>좀처럼 싸우려 하지 않기 때문에<NEXT>많이 잡혀서 수가 줄었다,사람을 등에 태우고 바다를 건넌다<NEXT>기분이 좋으면 아름다운 목소리로<NEXT>노래를 하기도 하는 것 같다,0x69,0x69,0x40AF,0x40AF
132,메타몽,True,True,True,False,변신,변신,3,40,어떤 것이든 변신할 수 있다<NEXT>잘 때는 돌로 변신해서<NEXT>공격받지 않도록 하고 있다,변신은 완벽하지만<NEXT>비웃음을 당해 힘이 빠지면<NEXT>변신이 풀려버리고 만다,0x69,0x69,0x4107,0x4113
133,이브이,True,True,True,False,진화,진화,3,65,주변환경에 따라서<NEXT>몸의 구조를 바꿔나가는<NEXT>능력의 소유자,불규칙한 형태의 유전자는<NEXT>주변의 영향을 받기 쉽다<NEXT>환경이 바뀌면 진화한다,0x69,0x69,0x415A,0x415E
134,샤미드,True,True,True,False,거품뿜기,거품뿜기,10,290,샤미드의 전신의 지느러미가<NEXT>빨리 움직이기 시작하는 것은<NEXT>몇 시간 뒤에 비가 내린다는 증거,아름다운 해변을 좋아한다<NEXT>세포가 물의 분자구조와 닮아서<NEXT>물에 녹는 것도 가능하다,0x69,0x69,0x4199,0x41AE
135,쥬피썬더,True,True,True,False,번개,번개,8,245,세포가 발산하고 있는 약한<NEXT>전기를 한데 모아서<NEXT>강력한 전기를 만들어 낸다,체내에 전기가 모이면<NEXT>전신의 털이 전체적으로<NEXT>날카롭게 곤두서기 시작한다,0x69,0x69,0x41FC,0x4209
136,부스터,True,True,True,False,화염,화염,9,250,들이마신 공기의 일부는<NEXT>체내의 화염주머니에 보내져서<NEXT>1700도의 화염이 된다,목 주위의 부드러운<NEXT>털을 펼쳐 섭씨 900도까지<NEXT>올라간 체온을 식히고 있다,0x69,0x69,0x424B,0x4258
137,폴리곤,True,True,True,False,가상,가상,8,365,호흡을 하지 않기 때문에<NEXT>어느곳이든지 활약할 수 있어서<NEXT>기대되어지는 인공의 포켓몬이다,연구 끝에 태어난<NEXT>인공 포켓몬  기본적인<NEXT>동작만 프로그램 되어있다,0x69,0x69,0x429C,0x42A6
138,암나이트,True,True,True,False,소용돌이,소용돌이,4,75,고대의 화석에서 부활했다<NEXT>껍질 안에 모은 공기로<NEXT>물고기의 부레 역할로 이용했다,10개의 다리로 능숙하게<NEXT>굽히며 바다를 헤엄쳤다고 전해진다<NEXT>오랜 옛날의 포켓몬,0x69,0x69,0x42F9,0x42EE
139,암스타,True,True,True,False,소용돌이,소용돌이,10,350,껍질에 숨은 셀러도<NEXT>날카로운 이빨로 껍질을 깨서<NEXT>안을 빨아먹고 있었던 듯 하다,한번 휘감으면 절대<NEXT>놓지 않는다  날카로운 앞니로<NEXT>먹이를 찢어서 먹는다 ,0x69,0x69,0x4352,0x4346
140,투구,True,True,True,False,껍질,껍질,5,115,해저에 몸을 숨긴 채로의<NEXT>모습으로 화석이 된 것이<NEXT>가끔 발견되고 있다,오랜 옛날의 포켓몬<NEXT>극히 드물게 살아있는 화석으로서<NEXT>발견되어진 일이 있다,0x69,0x69,0x43AA,0x4398
141,투구푸스,True,True,True,False,껍질,껍질,13,405,수중을 이동할 때<NEXT>손발을 작게 접어서 겹치고<NEXT>껍질을 구부려 빠르게 헤엄친다,날카로운 낫으로 먹이를 잘라<NEXT>흐르는 체액을 빨아먹던<NEXT>난폭한 고대 포켓몬,0x69,0x69,0x43F5,0x43E8
142,프테라,True,True,True,False,화석,화석,18,590,오랜 옛날의 사나운 포켓몬<NEXT>날개를 펼쳐서 하늘을<NEXT>미끄러지듯 날고 있었다고 한다,날카로운 목소리로 울부짖으며<NEXT>고대의 넓은 하늘을 날아다녔다고<NEXT>여겨지는 거칠고 사나운 포켓몬,0x69,0x69,0x4446,0x4436
143,잠만보,True,True,True,False,졸음,졸음,21,4600,울음소리라 생각되지만 실은<NEXT>코고는 소리 혹은 배가 고파서<NEXT>나는 소리다,위 안의 소화액은<NEXT>어떠한 독도 소화할 수 있다<NEXT>썩은 것을 먹어도 괜찮다,0x69,0x69,0x449B,0x4499
144,프리져,True,True,True,False,냉동,냉동,17,554,비쳐보이는 훌륭한 날개는<NEXT>얼음으로 되어있다고 전해지는<NEXT>전설의 포켓몬이다,공기중의 수분을 얼려서<NEXT>눈발을 날리며 날아간다<NEXT>전설의 새포켓몬의 하나,0x69,0x69,0x44E7,0x44E5
145,썬더,True,True,True,False,전기,전기,16,526,반짝이는 날개로 날갯짓을 하면<NEXT>극심한 번개가 발생하는<NEXT>전설의 포켓몬중 한마리다,번개구름이 둘로 갈라졌을 때<NEXT>모습을 나타낸다고 전해진다<NEXT>전설의 새포켓몬,0x69,0x69,0x4537,0x4532
146,파이어,True,True,True,False,화염,화염,20,600,날갯짓을 할 때마다 불꽃이 반짝임<NEXT>보는 자의 마음을 녹이는<NEXT>아름다움을 지닌 전설의 포켓몬이다,파이어가 모습을 보인<NEXT>설국은 한 걸음 빠르게 봄이<NEXT>찾아온다고 전해지는 전설의 포켓몬,0x69,0x69,0x458D,0x4581
147,미뇽,True,True,True,False,드래곤,드래곤,18,33,태어났을 때 부터 크다<NEXT>탈피를 반복해서<NEXT>점점 자라 길어진다,탈피를 반복하면<NEXT>점점 크게 자라게 된다<NEXT>생명력이 넘치는 포켓몬 ,0x69,0x69,0x45F0,0x45DB
148,신뇽,True,True,True,False,드래곤,드래곤,40,165,온몸에서 오라가 뿜어나오면<NEXT>순식간에 주변의 날씨가<NEXT>변해버린다고 한다,수정 같은 구슬에는<NEXT>날씨를 자유롭게 조종하는<NEXT>능력이 담겨져 있는 것 같다,0x69,0x69,0x4633,0x4623
149,망나뇽,True,True,True,False,드래곤,드래곤,22,2100,바다에 빠져있는 사람을<NEXT>구하기 위해 넓은 바다를<NEXT>항상 날고있다고 한다,뛰어난 풍채로<NEXT>성난 바다위를 <NEXT>자유롭게 날아다니는 바다의 화신,0x69,0x69,0x4681,0x4674
150,뮤츠,True,True,True,False,유전,유전,20,1220,극한까지 전투능력을<NEXT>높이 올렸기 때문에 눈앞의 적을<NEXT>쓰러뜨릴 생각밖에 하지 않는다,싸움에서 최대한의 힘을<NEXT>낼 수 있도록 보통은 조금도<NEXT>움직이지 않고 에너지를 모으고있다,0x69,0x69,0x46CF,0x46BB
151,뮤,True,True,True,False,신종,신종,4,40,맑고 깨끗한 마음과<NEXT>만나고 싶다는 강한 마음을<NEXT>가지면 모습을 나타내는 것 같다,유전자에는 모든 포켓몬의<NEXT>정보가 담겨져 있기 때문에<NEXT>모든 기술을 쓸 수 있다고 한다,0x69,0x69,0x4728,0x4717
152,치코리타,True,True,True,False,잎사귀,잎사귀,9,64,머리의 잎사귀에서 몽롱한<NEXT>향기가 감돈다  얌전하고<NEXT>햇살을 받는 것을 매우 좋아한다,좋은 냄새가 나는 잎사귀는<NEXT>주변의 습도나 온도를<NEXT>탐지하는 능력을 지니고 있다,0x69,0x69,0x477C,0x4770
153,베이리프,True,True,True,False,잎사귀,잎사귀,12,158,목 주변에서 나오는<NEXT>스파이스 같은 향기를 맡으면<NEXT>어쩐지 싸우고 싶어진다,목 주변에서 발산하는<NEXT>스파이스 같은 향기에는<NEXT>힘을 내도록 하는 효과가 있다,0x69,0x69,0x47D6,0x47C5
154,메가니움,True,True,True,False,허브,허브,18,1005,꽃잎에서 발산되어지는<NEXT>향기에는 싸울 기분을<NEXT>가라앉게 하는 성분이 담겨있다,매가니움이 뿜어내는 숨결에는<NEXT>말라죽은 풀과 나무를 살려내는<NEXT>힘이 담겨져 있다,0x69,0x69,0x4826,0x4818
155,브케인,True,True,True,False,불쥐,불쥐,5,79,겁이 많아서 항상 몸을<NEXT>움츠리고 있다  공격받으면 등의<NEXT>화염을 타올려 몸을 보호한다,보통은 등을 둥글게하고 있다<NEXT>화가 났을 때와 놀랐을때<NEXT>등에서 화염이 피어오른다,0x69,0x69,0x4877,0x486C
156,마그케인,True,True,True,False,화산,화산,9,190,전투중에 등을 보이면<NEXT>요주의  등의 화염으로<NEXT>공격을 해온다는 예고이다,몸을 뒤덮는 털가죽은<NEXT>절대로 불에타지 않는다<NEXT>어떤한 불의 공격에도 괜찮다,0x69,0x69,0x48D0,0x48C1
157,블레이범,True,True,True,False,화산,화산,17,795,분노가 최고조에 달할 때<NEXT>건드린 자는 모두 일순간에<NEXT>불태워버릴 정도로 뜨겁다,한창 타오르는 털을 문질러<NEXT>폭풍을 일으켜서 공격한다<NEXT>큰 기술을 감추어 놓고 있다,0x69,0x69,0x491C,0x4911
158,리아코,True,True,True,False,큰턱,큰턱,6,95,발달한 턱은 매우 강해서<NEXT>뭐든지 물어뜯어 버리기 때문에<NEXT>어버이 트레이너라도 주의해야 한다,작아도 성격은 거칠다<NEXT>눈 앞에서 움직이는 것이 있으면<NEXT>무조건 물어버린다,0x69,0x69,0x496F,0x4967
159,엘리게이,True,True,True,False,큰턱,큰턱,11,250,이빨이 빠져도 계속해서<NEXT>자라 나온다  항상 입안에는<NEXT>48개의 이빨이 늘어서 있다,큰 입을 벌려서 공격<NEXT>깨물었을 때 빠진 이빨은<NEXT>계속해서 돋아난다,0x69,0x69,0x49CF,0x49B5
160,장크로다일,True,True,True,False,큰턱,큰턱,23,888,크고 강력한 턱으로<NEXT>물어뜯으면 그대로 목을 흔들어<NEXT>상대를 산산조각 내버린다,지상에서는 몸을 지탱하기가<NEXT>힘들기 때문에 엎드려 다니지만<NEXT>매우 빠르게 이동할 수 있다,0x69,0x69,0x4A23,0x49FB
161,꼬리선,True,True,True,False,망보기,망보기,8,60,꼬리를 세워서 조금이라도<NEXT>먼곳의 상태를 살피고 있다<NEXT>경계심이 강한 포켓몬이다,먼 곳까지 볼 수 있도록 꼬리를<NEXT>사용해서 선다  적을 발견하면<NEXT>큰 소리로 동료들에게 알린다,0x69,0x69,0x4A75,0x4A57
162,다꼬리,True,True,True,False,긴몸통,긴몸통,18,325,가늘고 긴 몸의 형태에<NEXT>맞춘 집을 만들어서 다른<NEXT>포켓몬은 들어오지 못하게 하고있다,어디서부터 꼬리인지 잘 모른다<NEXT>손발은 짧지만 재빠르게<NEXT>움직여서 꼬렛을 덮친다,0x69,0x69,0x4ACB,0x4AB8
163,부우부,True,True,True,False,부엉이,부엉이,7,212,항상 한 개의 다리로 서있다<NEXT>다리를 바꾸는 순간은<NEXT>너무 빨라서 눈에 잘 띄지 않는다,체내의 시간 감각은<NEXT>어느 때든 정확해서<NEXT>규칙적인 리듬으로 목을 기울인다,0x69,0x69,0x4B25,0x4B0E
164,야부엉,True,True,True,False,부엉이,부엉이,16,408,양쪽 눈은 특수한 형태<NEXT>적은 빛을 집중시키면<NEXT>어둠속에서도 주변을 식별한다,뭔가를 생각해내면<NEXT>목을 180도 회전시켜<NEXT>머리회전을 높인다,0x69,0x69,0x4B7F,0x4B5E
165,레디바,True,True,True,False,별다섯,별다섯,10,108,무리를 만들지 않으면 불안해서<NEXT>움직이지 못할 정도로 겁이 많지만<NEXT>동료가 있으면 활발하게 움직인다,추워지면 여기저기로부터<NEXT>레디바가 많이 모여들어<NEXT>바싹 붙어 서로 따뜻하게 해준다,0x69,0x69,0x4BD1,0x4BA0
166,레디안,True,True,True,False,별다섯,별다섯,14,356,밤하늘의 별이 깜빡거릴 때<NEXT>반짝이는 가루를 흩뿌리며<NEXT>팔랑팔랑 날아간다,등의 별 모양은<NEXT>밤하늘의 별의 숫자에 반응하여<NEXT>많아졌다가 적어지기도 한다,0x69,0x69,0x4C3A,0x4BF8
167,페이검,True,True,True,False,실뿜기,실뿜기,5,85,먹이가 근처를 지나칠 때까지<NEXT>자신은 집에서 몇 일이고 같은<NEXT>모습으로 가만히 기다리고 있다,가늘고 튼튼한 실을<NEXT>뿜어 엮어서 덫을 만들고<NEXT>먹이가 걸리기만을 기다린다,0x69,0x69,0x4C89,0x4C4A
168,아리아도스,True,True,True,False,롱다리,롱다리,11,335,꼬리에서만이 아니고 입에서도<NEXT>실을 뿜기 때문에 봐서는<NEXT>어느쪽이 머리인지 모른다,항상 엉덩이에서 나오는<NEXT>특별한 꼬리의 실을 더듬어 가면<NEXT>보금자리와 연결되어 있다,0x69,0x69,0x4CEA,0x4C9A
